timestamp,key,event
73546.157587363,ATTACK,press
73546.209973521,JUMP,release
73546.299506802,ATTACK,release
73546.364331821,LEFT,press
73546.400789594,ATTACK,press
73546.414086979,UP,release
73546.569437654,ATTACK,release
73546.673514551,ATTACK,press
73546.85196002,ATTACK,release
73546.852032588,UP,press
73546.953890927,LEFT,release
73547.106625861,ATTACK,press
73547.164062802,JUMP,press
73547.289724253,ATTACK,release
73547.413526319,UP,release
73547.413564258,JUMP,release
73547.428208149,ATTACK,press
73547.463753332,LEFT,press
73547.624532453,ATTACK,release
73547.754539255,ATTACK,press
73547.941172366,LEFT,release
73547.950559587,ATTACK,release
73547.989183372,RIGHT,press
73548.104158052,ATTACK,press
73548.313574617,ATTACK,release
73548.324579765,RIGHT,release
73548.565771728,LEFT,press
73548.575368868,ATTACK,press
73548.706291088,ATTACK,release
73548.726771565,LEFT,release
73548.815670768,ATTACK,press
73548.939205725,ATTACK,release
73549.014114761,ATTACK,press
73549.029718545,LEFT,press
73549.154442335,ATTACK,release
73549.250551136,LEFT,release
73549.268175454,ATTACK,press
73549.423621575,ATTACK,release
73549.501505237,ATTACK,press
73549.664007897,ATTACK,release
73549.839154683,RIGHT,press
73549.892041014,ATTACK,press
73550.074786566,ATTACK,release
73550.314120918,RIGHT,release
73550.539841988,ATTACK,press
73550.677910956,LEFT,press
73550.703017019,ATTACK,release
73551.026901515,LEFT,release
73551.113918539,JUMP,press
73551.376679374,JUMP,release
73551.676823921,LEFT,press
73551.895200922,JUMP,press
73551.964054943,LEFT,release
73552.151830655,JUMP,release
73552.252204521,RIGHT,press
73552.563255467,JUMP,press
73552.813804482,JUMP,release
73553.202080876,LEFT,press
73553.250913968,JUMP,press
73553.277263794,LEFT,release
73553.705141247,JUMP,release
73554.163926675,RIGHT,release
73554.256439976,LEFT,press
73554.360448416,JUMP,press
73554.612272785,JUMP,release
73554.663938504,LEFT,release
73554.950957337,LEFT,press
73555.041943446,JUMP,press
73555.265157731,JUMP,release
73555.681127025,JUMP,press
73556.182769999,JUMP,press
73556.22341811,JUMP,press
73556.253803979,JUMP,press
73556.285704997,JUMP,press
73556.313898977,JUMP,release
73556.792201159,JUMP,press
73557.014038281,JUMP,release
73557.06388402,LEFT,release
73557.325473332,LEFT,press
73557.452090642,JUMP,press
73557.678062371,JUMP,release
73558.00367034,LEFT,release
73558.051314259,RIGHT,press
73558.203749309,JUMP,press
73558.499979569,JUMP,release
73559.003366935,JUMP,press
73559.503834124,JUMP,press
73559.546311766,JUMP,press
73559.577181385,JUMP,press
73559.609306138,JUMP,press
73559.627305429,JUMP,release
73559.677497832,ATTACK,press
73559.853169395,ATTACK,release
73560.064781353,ATTACK,press
73560.129653036,RIGHT,release
73560.253264866,ATTACK,release
73560.314261382,RIGHT,press
73560.314308078,JUMP,press
73560.396680647,UP,press
73560.652453041,ATTACK,press
73560.702179476,RIGHT,release
73560.904422735,LEFT,press
73560.913923044,ATTACK,release
73560.96465041,JUMP,release
73561.064342467,UP,release
73561.290053596,UP,press
73561.46456399,JUMP,press
73561.767474936,ATTACK,press
73561.982797574,JUMP,release
73562.002186199,ATTACK,release
73562.039591965,UP,release
73562.229167399,ATTACK,press
73562.327485087,JUMP,press
73562.439079054,ATTACK,release
73562.636754743,JUMP,release
73562.664687747,UP,press
73562.802549791,LEFT,release
73562.827273766,JUMP,press
73562.960202953,ATTACK,press
73563.067745984,LEFT,press
73563.101184329,JUMP,release
73563.128730829,UP,release
73563.139495059,ATTACK,release
73563.31429067,ATTACK,press
73563.41445556,JUMP,press
73563.550609124,ATTACK,release
73563.626241085,JUMP,release
73563.652317257,LEFT,release
73563.729026075,RIGHT,press
73563.877295517,DOWN,press
73563.88983493,ATTACK,press
73563.952445162,JUMP,press
73564.126517157,ATTACK,release
73564.150094862,JUMP,release
73564.302266312,RIGHT,release
73564.340316435,ATTACK,press
73564.503503589,JUMP,press
73564.664413359,ATTACK,release
73564.774270983,RIGHT,press
73564.789227832,JUMP,release
73564.975781304,ATTACK,press
73565.067515676,JUMP,press
73565.371475426,JUMP,release
73565.426580504,ATTACK,release
73565.553852591,JUMP,press
73565.94109041,ATTACK,press
73566.048577953,JUMP,release
73566.158695134,RIGHT,release
73566.215230612,ATTACK,release
73566.227902584,JUMP,press
73566.271134171,RIGHT,press
73566.40537677,ATTACK,press
73566.50158809,JUMP,release
73566.52722535,DOWN,release
73566.628156975,ATTACK,release
73566.802355285,UP,press
73566.852564406,JUMP,press
73566.883321073,ATTACK,press
73567.028492145,JUMP,release
73567.064197808,ATTACK,release
73567.11417629,UP,release
73567.189739994,RIGHT,release
73567.240191329,ATTACK,press
73567.445331817,RIGHT,press
73567.476236344,ATTACK,release
73567.768519494,ATTACK,press
73567.768574971,RIGHT,release
73567.940877605,RIGHT,press
73567.964425929,JUMP,press
73568.002828596,ATTACK,release
73568.064688458,UP,press
73568.139662069,JUMP,release
73568.275257647,UP,release
73568.293164098,RIGHT,release
73568.304278048,ATTACK,press
73568.503617012,RIGHT,press
73568.527290333,ATTACK,release
73568.689408894,JUMP,press
73568.801669349,ATTACK,press
73568.876823586,JUMP,release
73568.976739058,RIGHT,release
73569.025447877,ATTACK,release
73569.45171593,RIGHT,press
73569.493735376,ATTACK,press
73569.689635249,ATTACK,release
73569.790506264,RIGHT,release
73569.982191848,RIGHT,press
73570.036696856,ATTACK,press
73570.264427043,ATTACK,release
73570.350721658,RIGHT,release
73570.614608255,RIGHT,press
